Date : 2021-03-24 17:24:47
Directory : c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client
Total : 110 files,  6129 codes, 173 comments, 843 blanks, all 7145 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\store\actionCreators.ts  | TypeScript       |         28 |          0 |          4 |         32 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\store\constants.ts       | TypeScript       |          2 |          0 |          0 |          2 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\store\index.ts           | TypeScript       |          3 |          0 |          1 |          4 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\store\reducer.ts         | TypeScript       |         16 |          0 |          2 |         18 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\UserDynamicList\index.config.ts | TypeScript       |          2 |          0 |          0 |          2 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\UserDynamicList\index.less      | Less             |         17 |          0 |          4 |         21 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\UserDynamicList\index.tsx       | TypeScript React |         56 |          1 |         10 |         67 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\User\index.config.ts            | TypeScript       |          4 |          0 |          1 |          5 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\User\index.less                 | Less             |          3 |          0 |          0 |          3 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\User\index.tsx                  | TypeScript React |         62 |         40 |         13 |        115 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\baseUrl.ts                    | TypeScript       |         19 |          4 |          2 |         25 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\config.ts                     | TypeScript       |         13 |          1 |          0 |         14 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\http.ts                       | TypeScript       |         40 |          1 |          9 |         50 |
