"filename", "language", "TypeScript", "JSON", "TypeScript React", "Less", "HTML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\store\reducer.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\UserDynamicList\index.config.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\UserDynamicList\index.less", "Less", 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\UserDynamicList\index.tsx", "TypeScript React", 0, 0, 56, 0, 0, 0, 0, 1, 10, 67
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\User\index.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\User\index.less", "Less", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\User\index.tsx", "TypeScript React", 0, 0, 64, 0, 0, 0, 0, 40, 14, 118
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\index\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\index\index.less", "Less", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\index\index.tsx", "TypeScript React", 0, 0, 17, 0, 0, 0, 0, 3, 5, 25
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\index\store\actionCreators.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\index\store\constants.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\index\store\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\index\store\reducer.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
